repo,commit_sha_full,commit_sha,commit_message,commit_type,language,author,committed_at,commit_hour,day_of_week,is_weekend,is_night_commit,lines_added,lines_deleted,files_changed,test_files_changed,num_methods,avg_complexity,is_buggy,label_source,language_group,time_period,confidence,linked_issue,churn_ratio,test_ratio,complexity_per_file,prior_bugs_author
typeorm/typeorm,a595fedc2e159e2eb0c4c5d76bff31ac98da3df2,a595fedc2e,"fix: SqlQueryRunner.hasColumn was not working (#6146)  * fixed #5718  * removed .only",bugfix,TypeScript,Umed Khudoiberdiev,2020-05-27 23:53:36+03:00,23,2,0,1,34,1,2,0,2,2.0,0,clean,TypeScript,2018-2020,1.0,,17.0,0.0,0.67,0
typeorm/typeorm,007214986e421621eb4ec858907e51ae083c1cf7,007214986e,"feat: add postgres connection timeout option (#6160)  There was no documented way of setting a connection timeout for the postgres driver. We recently ran into an issue with our network that caused ",bugfix,TypeScript,Jack Wink,2020-06-06 23:39:59+03:00,23,5,1,1,11,1,3,0,0,0.0,0,clean,TypeScript,2018-2020,1.0,,5.5,0.0,0.0,0
typeorm/typeorm,defa9bced0b5d1258e4f50d5c590978e6d3324d3,defa9bced0,docs: fix undefined `repository` variable on docs (#6221)  The `repository` variable is not defined in the first Data Mapper pattern example,bugfix,Unknown,Giancarlos Isasi,2020-06-07 12:32:15+03:00,12,6,1,0,2,0,1,0,0,0.0,0,clean,TypeScript,2018-2020,1.0,,2.0,0.0,0.0,0
typeorm/typeorm,fc7a4f13f6270c9d5206358ebd78adb0ca690b3d,fc7a4f13f6,added sap hana note,feature,Unknown,Umed Khudoiberdiev,2020-06-22 19:28:20+03:00,19,0,0,0,2,0,1,0,0,0.0,0,clean,TypeScript,2018-2020,1.0,,2.0,0.0,0.0,0
typeorm/typeorm,9a887518f58f6a5917f39ee5db19351e067686e6,9a887518f5,docs: fixed small error (#6258),bugfix,Unknown,0xflotus,2020-07-03 00:58:58+03:00,0,4,0,1,1,1,1,0,0,0.0,0,clean,TypeScript,2018-2020,1.0,,0.5,0.0,0.0,0
typeorm/typeorm,1c09dc31f3e4d64657bf711228741ae7b10f4088,1c09dc31f3,"docs: replace body-parser with express built-in parser (#6257)  JSON body parser is now built-in by default (>4.16.0), hence no need for body-parser",docs,Unknown,Mustapha Yusuff,2020-07-03 01:00:26+03:00,1,4,0,1,3,7,1,0,0,0.0,0,clean,TypeScript,2018-2020,1.0,,0.38,0.0,0.0,0
typeorm/typeorm,4073a8dafaeebeb559b1e260e75761eb40150204,4073a8dafa,docs: fix markdown typo (#6359),bugfix,Unknown,Nipodemos,2020-07-07 00:21:31+03:00,0,1,0,1,1,1,1,0,0,0.0,0,clean,TypeScript,2018-2020,1.0,,0.5,0.0,0.0,0
typeorm/typeorm,1bc56588be598e9a17fb9ddf870311809a034bdc,1bc56588be,docs: update relations-faq.md (#6355)  Grammatical error,docs,Unknown,Rahul Soni,2020-07-07 00:21:58+03:00,0,1,0,1,1,1,1,0,0,0.0,0,clean,TypeScript,2018-2020,1.0,,0.5,0.0,0.0,0
typeorm/typeorm,8e2d97dd1fa036bd83479c457e58d9ea49c8f151,8e2d97dd1f,fix: resolve missing decorators on shim (#6354)  Closes: #6093,bugfix,JavaScript,Pedro Silveira Lopes,2020-07-07 00:23:24+03:00,0,1,0,1,34,2,2,0,11,1.0,0,clean,TypeScript,2018-2020,1.0,,11.33,0.0,0.33,0
typeorm/typeorm,60711c292422cb3b9cf3843613d4cb3977a8f124,60711c2924,docs: Add advance subdocument query documentation (#6344)  Example for querying subdocuments and array of subdocuments,feature,Unknown,IAGO BRAYHAM,2020-07-07 00:29:22+03:00,0,1,0,1,29,0,1,0,0,0.0,0,clean,TypeScript,2018-2020,1.0,,29.0,0.0,0.0,0
